age,job,marital,marital_status,education,default,balance,housing,loan,contact,day,month,day_month,duration,campaign,pdays,previous,poutcome,y
46,management,divorced,divorced,secondary,no,16,yes,yes,unknown,5,may,5-May,188,2,-1,0,unknown,no
57,retired,married,married,secondary,no,486,yes,no,unknown,5,may,5-May,180,2,-1,0,unknown,no
42,management,single,single,secondary,no,50,no,no,unknown,5,may,5-May,48,1,-1,0,unknown,no
30,technician,married,married,secondary,no,152,yes,yes,unknown,5,may,5-May,213,2,-1,0,unknown,no
60,admin.,married,married,secondary,no,290,yes,no,unknown,5,may,5-May,583,1,-1,0,unknown,no
60,blue-collar,married,married,unknown,no,54,yes,no,unknown,5,may,5-May,221,1,-1,0,unknown,no
57,entrepreneur,divorced,divorced,secondary,no,-37,no,no,unknown,5,may,5-May,173,1,-1,0,unknown,no
36,management,married,married,tertiary,no,101,yes,yes,unknown,5,may,5-May,426,1,-1,0,unknown,no
55,blue-collar,married,married,secondary,no,383,no,no,unknown,5,may,5-May,287,1,-1,0,unknown,no
60,retired,married,married,tertiary,no,81,yes,no,unknown,5,may,5-May,101,1,-1,0,unknown,no
39,technician,married,married,secondary,no,0,yes,no,unknown,5,may,5-May,203,1,-1,0,unknown,no
46,management,married,married,tertiary,no,229,yes,no,unknown,5,may,5-May,197,1,-1,0,unknown,no
44,blue-collar,married,married,secondary,no,-674,yes,no,unknown,5,may,5-May,257,1,-1,0,unknown,no
53,blue-collar,married,married,primary,no,90,no,no,unknown,5,may,5-May,124,1,-1,0,unknown,no
52,blue-collar,married,married,primary,no,128,yes,no,unknown,5,may,5-May,229,1,-1,0,unknown,no
59,blue-collar,married,married,primary,no,179,yes,no,unknown,5,may,5-May,55,3,-1,0,unknown,no
27,technician,single,single,tertiary,no,0,yes,no,unknown,5,may,5-May,400,1,-1,0,unknown,no
44,blue-collar,married,married,secondary,no,54,yes,no,unknown,5,may,5-May,197,1,-1,0,unknown,no
47,technician,married,married,tertiary,no,151,yes,no,unknown,5,may,5-May,190,1,-1,0,unknown,no
34,admin.,married,married,secondary,no,61,no,yes,unknown,5,may,5-May,21,1,-1,0,unknown,no
59,retired,single,single,secondary,no,30,yes,no,unknown,5,may,5-May,514,1,-1,0,unknown,no
45,management,married,married,tertiary,no,523,yes,no,unknown,5,may,5-May,849,2,-1,0,unknown,no
29,services,divorced,divorced,secondary,no,31,yes,no,unknown,5,may,5-May,194,1,-1,0,unknown,no
46,technician,divorced,divorced,secondary,no,79,no,no,unknown,5,may,5-May,144,1,-1,0,unknown,no
56,self-employed,married,married,primary,no,-34,yes,yes,unknown,5,may,5-May,212,2,-1,0,unknown,no
36,blue-collar,married,married,primary,no,448,yes,no,unknown,5,may,5-May,286,1,-1,0,unknown,no
59,retired,divorced,divorced,primary,no,81,yes,no,unknown,5,may,5-May,107,1,-1,0,unknown,no
44,blue-collar,married,married,secondary,no,144,yes,no,unknown,5,may,5-May,247,2,-1,0,unknown,no
41,admin.,married,married,secondary,no,351,yes,no,unknown,5,may,5-May,518,1,-1,0,unknown,no
33,management,single,single,tertiary,no,-67,yes,no,unknown,5,may,5-May,364,1,-1,0,unknown,no
59,management,divorced,divorced,tertiary,no,262,no,no,unknown,5,may,5-May,178,1,-1,0,unknown,no
57,technician,married,married,primary,no,0,no,no,unknown,5,may,5-May,98,1,-1,0,unknown,no
56,technician,divorced,divorced,unknown,no,56,yes,no,unknown,5,may,5-May,439,1,-1,0,unknown,no
51,blue-collar,married,married,secondary,no,26,yes,no,unknown,5,may,5-May,79,1,-1,0,unknown,no
34,admin.,married,married,unknown,no,3,yes,no,unknown,5,may,5-May,120,3,-1,0,unknown,no
43,services,married,married,secondary,no,41,yes,yes,unknown,5,may,5-May,127,2,-1,0,unknown,no
52,technician,married,married,tertiary,no,7,no,yes,unknown,5,may,5-May,175,1,-1,0,unknown,no
33,technician,single,single,secondary,no,105,yes,no,unknown,5,may,5-May,262,2,-1,0,unknown,no
29,admin.,single,single,secondary,no,818,yes,yes,unknown,5,may,5-May,61,1,-1,0,unknown,no
34,services,married,married,secondary,no,-16,yes,yes,unknown,5,may,5-May,78,1,-1,0,unknown,no
31,blue-collar,married,married,secondary,no,0,yes,no,unknown,5,may,5-May,143,1,-1,0,unknown,no
55,services,married,married,secondary,no,2476,yes,no,unknown,5,may,5-May,579,1,-1,0,unknown,yes
55,management,married,married,unknown,no,1185,no,no,unknown,5,may,5-May,677,1,-1,0,unknown,no
32,admin.,single,single,secondary,no,217,yes,no,unknown,5,may,5-May,345,1,-1,0,unknown,no
38,technician,single,single,secondary,no,1685,yes,no,unknown,5,may,5-May,185,1,-1,0,unknown,no
55,admin.,single,single,secondary,no,802,yes,yes,unknown,5,may,5-May,100,2,-1,0,unknown,no
28,unemployed,single,single,tertiary,no,0,yes,no,unknown,5,may,5-May,125,2,-1,0,unknown,no
23,blue-collar,married,married,secondary,no,94,yes,no,unknown,5,may,5-May,193,1,-1,0,unknown,no
32,technician,single,single,secondary,no,0,yes,no,unknown,5,may,5-May,136,1,-1,0,unknown,no
43,services,single,single,unknown,no,0,no,no,unknown,5,may,5-May,73,1,-1,0,unknown,no
32,blue-collar,married,married,secondary,no,517,yes,no,unknown,5,may,5-May,528,1,-1,0,unknown,no
46,blue-collar,married,married,secondary,no,265,yes,no,unknown,5,may,5-May,541,1,-1,0,unknown,no
53,housemaid,divorced,divorced,primary,no,947,yes,no,unknown,5,may,5-May,163,1,-1,0,unknown,no
34,self-employed,single,single,secondary,no,3,yes,no,unknown,5,may,5-May,301,1,-1,0,unknown,no
57,unemployed,married,married,tertiary,no,42,no,no,unknown,5,may,5-May,46,1,-1,0,unknown,no
37,blue-collar,married,married,secondary,no,37,yes,no,unknown,5,may,5-May,204,1,-1,0,unknown,no
59,blue-collar,married,married,secondary,no,57,yes,no,unknown,5,may,5-May,98,1,-1,0,unknown,no
33,services,married,married,secondary,no,22,yes,no,unknown,5,may,5-May,71,1,-1,0,unknown,no
56,blue-collar,divorced,divorced,primary,no,8,yes,no,unknown,5,may,5-May,157,2,-1,0,unknown,no
48,unemployed,married,married,secondary,no,293,yes,no,unknown,5,may,5-May,243,1,-1,0,unknown,no
43,services,married,married,primary,no,3,yes,no,unknown,5,may,5-May,186,2,-1,0,unknown,no
54,blue-collar,married,married,primary,no,348,yes,no,unknown,5,may,5-May,579,2,-1,0,unknown,no
51,blue-collar,married,married,unknown,no,-19,yes,no,unknown,5,may,5-May,163,2,-1,0,unknown,no
26,student,single,single,secondary,no,0,yes,no,unknown,5,may,5-May,610,2,-1,0,unknown,no
40,management,married,married,tertiary,no,-4,yes,no,unknown,5,may,5-May,2033,1,-1,0,unknown,no
39,management,married,married,secondary,no,18,yes,no,unknown,5,may,5-May,85,1,-1,0,unknown,no
50,technician,married,married,primary,no,139,no,no,unknown,5,may,5-May,114,2,-1,0,unknown,no
41,services,married,married,secondary,no,0,yes,no,unknown,5,may,5-May,114,2,-1,0,unknown,no
51,blue-collar,married,married,unknown,no,1883,yes,no,unknown,5,may,5-May,57,1,-1,0,unknown,no
60,retired,divorced,divorced,secondary,no,216,yes,no,unknown,5,may,5-May,238,1,-1,0,unknown,no
52,blue-collar,married,married,secondary,no,782,yes,no,unknown,5,may,5-May,93,3,-1,0,unknown,no
48,blue-collar,married,married,secondary,no,904,yes,no,unknown,5,may,5-May,128,2,-1,0,unknown,no
48,services,married,married,unknown,no,1705,yes,no,unknown,5,may,5-May,107,1,-1,0,unknown,no
39,technician,single,single,tertiary,no,47,yes,no,unknown,5,may,5-May,181,1,-1,0,unknown,no
47,services,single,single,secondary,no,176,yes,no,unknown,5,may,5-May,303,2,-1,0,unknown,no
40,blue-collar,married,married,secondary,no,1225,yes,no,unknown,5,may,5-May,558,5,-1,0,unknown,no
45,technician,married,married,secondary,no,86,yes,no,unknown,5,may,5-May,270,1,-1,0,unknown,no
26,admin.,single,single,secondary,no,82,yes,no,unknown,5,may,5-May,228,1,-1,0,unknown,no
52,management,married,married,tertiary,no,271,yes,no,unknown,5,may,5-May,99,1,-1,0,unknown,no
54,technician,married,married,secondary,no,1378,yes,no,unknown,5,may,5-May,240,1,-1,0,unknown,no
54,admin.,married,married,tertiary,no,184,no,no,unknown,5,may,5-May,673,2,-1,0,unknown,yes
50,blue-collar,married,married,primary,no,0,no,no,unknown,5,may,5-May,233,3,-1,0,unknown,no
35,blue-collar,married,married,secondary,no,0,yes,no,unknown,5,may,5-May,1056,1,-1,0,unknown,no
44,services,married,married,secondary,no,1357,yes,yes,unknown,5,may,5-May,250,1,-1,0,unknown,no
53,entrepreneur,married,married,unknown,no,19,yes,no,unknown,5,may,5-May,252,1,-1,0,unknown,no
35,retired,single,single,primary,no,434,no,no,unknown,5,may,5-May,138,1,-1,0,unknown,no
60,admin.,divorced,divorced,secondary,no,92,yes,no,unknown,5,may,5-May,130,1,-1,0,unknown,no
53,admin.,divorced,divorced,secondary,no,1151,yes,no,unknown,5,may,5-May,412,1,-1,0,unknown,no
48,unemployed,married,married,secondary,no,41,yes,no,unknown,5,may,5-May,179,2,-1,0,unknown,no
34,technician,married,married,secondary,no,51,yes,no,unknown,5,may,5-May,19,2,-1,0,unknown,no
54,services,married,married,secondary,no,214,yes,no,unknown,5,may,5-May,458,2,-1,0,unknown,no
51,management,married,married,secondary,no,1161,yes,no,unknown,5,may,5-May,717,1,-1,0,unknown,no
31,services,married,married,tertiary,no,37,yes,no,unknown,5,may,5-May,313,1,-1,0,unknown,no
35,technician,divorced,divorced,secondary,no,787,yes,no,unknown,5,may,5-May,683,2,-1,0,unknown,no
35,services,married,married,secondary,no,59,yes,no,unknown,5,may,5-May,1077,1,-1,0,unknown,no
38,technician,married,married,secondary,no,253,yes,no,unknown,5,may,5-May,416,1,-1,0,unknown,no
36,admin.,married,married,tertiary,no,211,yes,no,unknown,5,may,5-May,146,2,-1,0,unknown,no
58,retired,married,married,primary,no,235,yes,no,unknown,5,may,5-May,167,1,-1,0,unknown,no
40,services,divorced,divorced,unknown,no,4384,yes,no,unknown,5,may,5-May,315,1,-1,0,unknown,no
54,management,married,married,secondary,no,4080,no,no,unknown,5,may,5-May,140,1,-1,0,unknown,no
34,blue-collar,single,single,secondary,no,53,yes,yes,unknown,5,may,5-May,346,1,-1,0,unknown,no
31,management,single,single,tertiary,no,0,yes,no,unknown,5,may,5-May,562,1,-1,0,unknown,no
51,retired,married,married,secondary,no,2127,yes,no,unknown,5,may,5-May,172,1,-1,0,unknown,no
33,management,married,married,tertiary,no,377,yes,no,unknown,5,may,5-May,217,1,-1,0,unknown,no
55,management,married,married,tertiary,no,73,yes,no,unknown,5,may,5-May,142,2,-1,0,unknown,no
42,admin.,married,married,secondary,no,445,yes,no,unknown,5,may,5-May,67,1,-1,0,unknown,no
34,blue-collar,married,married,secondary,no,243,yes,no,unknown,5,may,5-May,291,1,-1,0,unknown,no
33,blue-collar,single,single,secondary,no,307,yes,no,unknown,5,may,5-May,309,2,-1,0,unknown,no
38,services,married,married,secondary,no,155,yes,no,unknown,5,may,5-May,248,1,-1,0,unknown,no
50,technician,divorced,divorced,tertiary,no,173,no,yes,unknown,5,may,5-May,98,1,-1,0,unknown,no
43,management,married,married,tertiary,no,400,yes,no,unknown,5,may,5-May,256,1,-1,0,unknown,no
61,blue-collar,divorced,divorced,primary,no,1428,yes,no,unknown,5,may,5-May,82,2,-1,0,unknown,no
47,admin.,married,married,secondary,no,219,yes,no,unknown,5,may,5-May,577,1,-1,0,unknown,no
48,self-employed,married,married,tertiary,no,7,yes,no,unknown,5,may,5-May,286,1,-1,0,unknown,no
44,blue-collar,married,married,secondary,no,575,yes,no,unknown,5,may,5-May,477,1,-1,0,unknown,no
35,student,single,single,unknown,no,298,yes,no,unknown,5,may,5-May,611,2,-1,0,unknown,no
35,services,married,married,secondary,no,0,yes,no,unknown,5,may,5-May,471,1,-1,0,unknown,no
50,services,married,married,secondary,no,5699,yes,no,unknown,5,may,5-May,381,2,-1,0,unknown,no
41,management,married,married,tertiary,no,176,yes,yes,unknown,5,may,5-May,42,1,-1,0,unknown,no
41,management,married,married,tertiary,no,517,yes,no,unknown,5,may,5-May,251,1,-1,0,unknown,no
39,services,single,single,unknown,no,257,yes,no,unknown,5,may,5-May,408,1,-1,0,unknown,no
42,retired,married,married,secondary,no,56,yes,no,unknown,5,may,5-May,215,1,-1,0,unknown,no
38,blue-collar,married,married,secondary,no,-390,yes,no,unknown,5,may,5-May,287,1,-1,0,unknown,no
53,retired,married,married,secondary,no,330,yes,no,unknown,5,may,5-May,216,2,-1,0,unknown,no
59,housemaid,divorced,divorced,primary,no,195,no,no,unknown,5,may,5-May,366,2,-1,0,unknown,no
36,services,married,married,secondary,no,301,yes,no,unknown,5,may,5-May,210,1,-1,0,unknown,no
54,blue-collar,married,married,primary,no,-41,yes,no,unknown,5,may,5-May,288,1,-1,0,unknown,no
40,technician,married,married,tertiary,no,483,yes,no,unknown,5,may,5-May,168,1,-1,0,unknown,no
47,unknown,married,married,unknown,no,28,no,no,unknown,5,may,5-May,338,2,-1,0,unknown,no
53,unemployed,married,married,unknown,no,13,no,no,unknown,5,may,5-May,410,3,-1,0,unknown,no
46,housemaid,married,married,primary,no,965,no,no,unknown,5,may,5-May,177,1,-1,0,unknown,no
39,management,married,married,tertiary,no,378,yes,yes,unknown,5,may,5-May,127,2,-1,0,unknown,no
40,unemployed,married,married,secondary,no,219,yes,no,unknown,5,may,5-May,357,1,-1,0,unknown,no
28,blue-collar,married,married,primary,no,324,yes,no,unknown,5,may,5-May,175,1,-1,0,unknown,no
35,entrepreneur,divorced,divorced,secondary,no,-69,yes,no,unknown,5,may,5-May,300,1,-1,0,unknown,no
55,retired,married,married,secondary,no,0,no,yes,unknown,5,may,5-May,136,1,-1,0,unknown,no
43,technician,divorced,divorced,unknown,no,205,yes,no,unknown,5,may,5-May,1419,1,-1,0,unknown,no
48,blue-collar,married,married,primary,no,278,yes,no,unknown,5,may,5-May,125,2,-1,0,unknown,no
58,management,married,married,unknown,no,1065,yes,no,unknown,5,may,5-May,213,3,-1,0,unknown,no
33,management,single,single,tertiary,no,34,yes,no,unknown,5,may,5-May,27,1,-1,0,unknown,no
36,blue-collar,married,married,unknown,no,1033,no,no,unknown,5,may,5-May,238,2,-1,0,unknown,no
53,services,divorced,divorced,secondary,no,1467,yes,no,unknown,5,may,5-May,124,1,-1,0,unknown,no
47,blue-collar,married,married,primary,no,-12,yes,no,unknown,5,may,5-May,18,1,-1,0,unknown,no
31,services,married,married,secondary,no,388,yes,no,unknown,5,may,5-May,730,2,-1,0,unknown,no
57,entrepreneur,married,married,secondary,no,294,yes,no,unknown,5,may,5-May,746,2,-1,0,unknown,no
53,blue-collar,married,married,unknown,no,1827,no,no,unknown,5,may,5-May,121,1,-1,0,unknown,no
55,blue-collar,married,married,primary,no,627,yes,no,unknown,5,may,5-May,247,1,-1,0,unknown,no
45,blue-collar,married,married,primary,no,25,yes,no,unknown,5,may,5-May,40,1,-1,0,unknown,no
53,admin.,divorced,divorced,secondary,no,315,yes,no,unknown,5,may,5-May,181,2,-1,0,unknown,no
37,blue-collar,married,married,primary,no,0,yes,no,unknown,5,may,5-May,79,1,-1,0,unknown,no
44,admin.,divorced,divorced,secondary,no,66,yes,no,unknown,5,may,5-May,206,1,-1,0,unknown,no
49,blue-collar,divorced,divorced,primary,no,-9,yes,yes,unknown,5,may,5-May,389,1,-1,0,unknown,no
46,technician,married,married,secondary,no,349,yes,yes,unknown,5,may,5-May,127,1,-1,0,unknown,no
43,entrepreneur,married,married,unknown,no,100,yes,no,unknown,5,may,5-May,702,1,-1,0,unknown,no
38,admin.,married,married,secondary,no,0,no,no,unknown,5,may,5-May,151,1,-1,0,unknown,no
43,technician,married,married,secondary,no,434,yes,no,unknown,5,may,5-May,117,1,-1,0,unknown,no
49,management,married,married,tertiary,no,3237,yes,no,unknown,5,may,5-May,232,3,-1,0,unknown,no
42,management,married,married,unknown,no,275,no,no,unknown,5,may,5-May,408,2,-1,0,unknown,no
22,blue-collar,single,single,secondary,no,0,yes,no,unknown,5,may,5-May,179,2,-1,0,unknown,no
40,management,married,married,tertiary,no,207,yes,no,unknown,5,may,5-May,39,1,-1,0,unknown,no
39,blue-collar,married,married,secondary,no,483,yes,no,unknown,5,may,5-May,282,1,-1,0,unknown,no
51,services,married,married,secondary,no,2248,yes,no,unknown,5,may,5-May,714,2,-1,0,unknown,no
49,admin.,married,married,secondary,no,428,yes,no,unknown,5,may,5-May,50,1,-1,0,unknown,no
53,blue-collar,married,married,secondary,no,0,yes,yes,unknown,5,may,5-May,181,1,-1,0,unknown,no
34,services,single,single,secondary,no,0,yes,no,unknown,5,may,5-May,142,1,-1,0,unknown,no
33,technician,divorced,divorced,secondary,no,140,yes,no,unknown,5,may,5-May,227,1,-1,0,unknown,no
50,management,single,single,tertiary,no,297,yes,no,unknown,5,may,5-May,119,1,-1,0,unknown,no
39,blue-collar,married,married,primary,no,279,yes,no,unknown,5,may,5-May,361,1,-1,0,unknown,no
59,entrepreneur,divorced,divorced,secondary,no,901,yes,no,unknown,5,may,5-May,73,3,-1,0,unknown,no
30,technician,single,single,secondary,no,2573,yes,no,unknown,5,may,5-May,67,2,-1,0,unknown,no
36,services,married,married,secondary,no,143,yes,yes,unknown,5,may,5-May,350,1,-1,0,unknown,no
40,blue-collar,married,married,secondary,no,475,yes,no,unknown,5,may,5-May,332,2,-1,0,unknown,no
53,blue-collar,married,married,secondary,no,70,yes,no,unknown,5,may,5-May,611,2,-1,0,unknown,no
34,management,single,single,tertiary,no,318,yes,no,unknown,5,may,5-May,113,2,-1,0,unknown,no
37,technician,married,married,secondary,no,275,yes,no,unknown,5,may,5-May,132,1,-1,0,unknown,no
42,management,divorced,divorced,tertiary,no,742,yes,no,unknown,5,may,5-May,58,3,-1,0,unknown,no
41,entrepreneur,married,married,primary,no,236,yes,no,unknown,5,may,5-May,151,1,-1,0,unknown,no
30,student,single,single,tertiary,no,25,yes,no,unknown,5,may,5-May,89,2,-1,0,unknown,no
37,management,single,single,tertiary,no,600,yes,no,unknown,5,may,5-May,152,1,-1,0,unknown,no
39,admin.,divorced,divorced,secondary,no,-349,yes,no,unknown,5,may,5-May,611,2,-1,0,unknown,no
41,blue-collar,married,married,primary,no,183,yes,yes,unknown,5,may,5-May,110,2,-1,0,unknown,no
40,blue-collar,married,married,primary,no,0,yes,no,unknown,5,may,5-May,463,1,-1,0,unknown,no
42,management,single,single,tertiary,no,0,yes,yes,unknown,5,may,5-May,562,2,-1,0,unknown,yes
40,blue-collar,divorced,divorced,primary,no,0,yes,no,unknown,5,may,5-May,962,1,-1,0,unknown,no
57,technician,married,married,secondary,no,1078,yes,no,unknown,5,may,5-May,10,4,-1,0,unknown,no
